Gene1,Gene2
M6PR,PLIN3
M6PR,IGF2R
M6PR,GGA1
M6PR,GGA3
FKBP4,CHUK
FKBP4,PPID
FKBP4,PGR
FKBP4,FKBP5
FKBP4,ESR1
FKBP4,HSP90AB1
FKBP4,HSPA8
FKBP4,HSP90AA1
FKBP4,MTOR
FKBP4,PHLPP1
FKBP4,PTGES3
FKBP4,AHSA1
FKBP4,HSPA4
FKBP4,NR3C1
FKBP4,AR
FKBP4,STIP1
FKBP4,DNAJB1
FKBP4,GLMN
FKBP4,AKT1
FKBP4,HSF1
FKBP4,NR3C2
CYP26B1,CYP26A1
CYP26B1,CYP26C1
NDUFAF7,NDUFS2
FUCA2,FUCA1
SEMA3F,PLXNA1
SEMA3F,NRP1
SEMA3F,NRP2
SEMA3F,PLXNA3
CFTR,PDZK1
CFTR,CANX
CFTR,HSP90AA1
CFTR,TJP1
CFTR,YWHAB
CFTR,FLNA
CFTR,YWHAG
CFTR,DERL1
CFTR,HSP90AB1
CFTR,SLC9A3R2
CFTR,YWHAZ
CFTR,VCP
CFTR,KCNJ1
CFTR,HSPA8
CFTR,SLC9A3R1
CFTR,RNF5
CFTR,USP10
CFTR,GOPC
CFTR,EZR
CYP51A1,ERG28
USP28,TP53BP1
USP28,CLSPN
USP28,UBB
USP28,MYC
USP28,UBC
USP28,FBXW7
USP28,RPS27A
USP28,UBA52
HSPB6,BAG3
HSPB6,SFN
HSPB6,YWHAG
HSPB6,HSPB1
PDK4,HSPA9
PDK4,ITPR1
PDK4,ITPR3
PDK4,VDAC1
USH1C,ADGRV1
USH1C,CDHR2
USH1C,ANKS4B
USH1C,CDH23
USH1C,MYO7B
USH1C,USH1G
USH1C,PDZD7
USH1C,WHRN
USH1C,MYO7A
USH1C,USH2A
RALA,FLNB
RALA,RALBP1
RALA,CALM1
RALA,FLNA
RALA,EXOC2
RALA,RASA1
RALA,EXOC8
RALA,PLCD1
RALA,EXOC4
RALA,RALB
BAIAP2L1,WASL
CACNG3,HSPA2
CACNG3,EFCAB9
CACNG3,CACNB2
CACNG3,SHISA9
CACNG3,CACNG8
CACNG3,GRIA3
CACNG3,HTR3A
CACNG3,CACNB4
CACNG3,GRIN2A
CACNG3,CACNB3
CACNG3,CATSPERB
CACNG3,CACNG2
CACNG3,CACNA2D4
CACNG3,GRIA4
CACNG3,CACNA1H
CACNG3,CACNA1D
CACNG3,CATSPER3
CACNG3,CACNA1C
CACNG3,CATSPERG
CACNG3,CACNG1
CACNG3,TMEM262
CACNG3,GRIN2C
CACNG3,CACNG4
CACNG3,CNIH3
CACNG3,CACNA1F
CACNG3,FKBP1A
CACNG3,GRIN3B
CACNG3,CATSPERE
CACNG3,GRIN1
CACNG3,GRIN2B
CACNG3,GRIN3A
