Algorithm,Network,AUROC,Dataset,NumberOfGenes
GRNBOOST2,STRING12,0.6281886736915746,hhep,500
GRNBOOST2,commonnetwork,0.6281886736915746,hhep,500
GRNBOOST2,commonnetwork,0.6295316760567422,hhep,750
GRNBOOST2,STRING12,0.6228651213907719,hhep,750
GRNBOOST2,commonnetwork,0.6246848066368863,hhep,1000
GRNBOOST2,STRING12,0.6087333227418134,hhep,1000
GRNBOOST2,commonnetwork,0.6194696307298313,hhep,1250
GRNBOOST2,STRING12,0.6059058274775122,hhep,1250
GRNBOOST2,commonnetwork,0.6164100390833949,hhep,1500
GRNBOOST2,STRING12,0.6005212084432558,hhep,1500
GRNBOOST2,commonnetwork,0.6169938928245348,hhep,1750
GRNBOOST2,STRING12,0.5962623869370256,hhep,1750
GRNBOOST2,STRING12,0.5957954096905789,hhep,2000
GRNBOOST2,commonnetwork,0.617992876352933,hhep,2000
GRNBOOST2,commonnetwork,0.6128119724286213,hhep,2250
GRNBOOST2,STRING12,0.5876877535398676,hhep,2250
GRNBOOST2,commonnetwork,0.6089341348416346,hhep,2500
GRNBOOST2,STRING12,0.5798174154793039,hhep,2500
GRNBOOST2,STRING12,0.5760975089271865,hhep,2750
GRNBOOST2,commonnetwork,0.6087781003549518,hhep,2750
GRNBOOST2,commonnetwork,0.6064218285621681,hhep,3000
GRNBOOST2,STRING12,0.5724253677752331,hhep,3000
