Algorithm,Network,AUROC,Dataset,NumberOfGenes
GRNBOOST2,Dataset-specific,0.6281886736915746,hhep,500
GRNBOOST2,hhep500Net,0.6281886736915746,hhep,500
GRNBOOST2,hhep500Net,0.6295316760567422,hhep,750
GRNBOOST2,Dataset-specific,0.6228651213907719,hhep,750
GRNBOOST2,hhep500Net,0.6246848066368863,hhep,1000
GRNBOOST2,Dataset-specific,0.6087333227418134,hhep,1000
GRNBOOST2,hhep500Net,0.6194696307298313,hhep,1250
GRNBOOST2,Dataset-specific,0.6059058274775122,hhep,1250
GRNBOOST2,hhep500Net,0.6164100390833949,hhep,1500
GRNBOOST2,Dataset-specific,0.6005212084432558,hhep,1500
GRNBOOST2,hhep500Net,0.6169938928245348,hhep,1750
GRNBOOST2,Dataset-specific,0.5962623869370256,hhep,1750
GRNBOOST2,Dataset-specific,0.5957954096905789,hhep,2000
GRNBOOST2,hhep500Net,0.617992876352933,hhep,2000
GRNBOOST2,hhep500Net,0.6128119724286213,hhep,2250
GRNBOOST2,Dataset-specific,0.5876877535398676,hhep,2250
GRNBOOST2,hhep500Net,0.6089341348416346,hhep,2500
GRNBOOST2,Dataset-specific,0.5798174154793039,hhep,2500
GRNBOOST2,Dataset-specific,0.5760975089271865,hhep,2750
GRNBOOST2,hhep500Net,0.6087781003549518,hhep,2750
GRNBOOST2,hhep500Net,0.6064218285621681,hhep,3000
GRNBOOST2,Dataset-specific,0.5724253677752331,hhep,3000
GRNBOOST2,Dataset-specific,0.6281886736915746,hhep,500
GRNBOOST2,hhep500Net,0.6281886736915746,hhep,500
GRNBOOST2,kim500Net,0.7820840764942439,kim23-hm1,500
GRNBOOST2,STRING12,0.7820840764942439,kim23-hm1,500
GRNBOOST2,hhep500Net,0.6295316760567422,hhep,750
GRNBOOST2,Dataset-specific,0.6228651213907719,hhep,750
GRNBOOST2,STRING12,0.7573541279004402,kim23-hm1,750
GRNBOOST2,kim500Net,0.7785985848545974,kim23-hm1,750
GRNBOOST2,hhep500Net,0.6246848066368863,hhep,1000
GRNBOOST2,Dataset-specific,0.6087333227418134,hhep,1000
GRNBOOST2,STRING12,0.7543960503455387,kim23-hm1,1000
GRNBOOST2,kim500Net,0.778114941327909,kim23-hm1,1000
GRNBOOST2,hhep500Net,0.6194696307298313,hhep,1250
GRNBOOST2,Dataset-specific,0.6059058274775122,hhep,1250
GRNBOOST2,STRING12,0.7517435728379667,kim23-hm1,1250
GRNBOOST2,kim500Net,0.7763061353379337,kim23-hm1,1250
GRNBOOST2,STRING12,0.7353598567898075,kim23-hm1,1500
GRNBOOST2,kim500Net,0.7745995587834177,kim23-hm1,1500
GRNBOOST2,Dataset-specific,0.6005212084432558,hhep,1500
GRNBOOST2,hhep500Net,0.6164100390833949,hhep,1500
GRNBOOST2,STRING12,0.7299314399319485,kim23-hm1,1750
GRNBOOST2,kim500Net,0.7776996654535004,kim23-hm1,1750
GRNBOOST2,Dataset-specific,0.5962623869370256,hhep,1750
GRNBOOST2,hhep500Net,0.6169938928245348,hhep,1750
GRNBOOST2,kim500Net,0.7756293398982038,kim23-hm1,2000
GRNBOOST2,STRING12,0.727560002205593,kim23-hm1,2000
GRNBOOST2,hhep500Net,0.617992876352933,hhep,2000
GRNBOOST2,Dataset-specific,0.5957954096905789,hhep,2000
GRNBOOST2,kim500Net,0.7711223132162649,kim23-hm1,2250
GRNBOOST2,hhep500Net,0.6128119724286213,hhep,2250
GRNBOOST2,STRING12,0.7178942203524213,kim23-hm1,2250
GRNBOOST2,Dataset-specific,0.5876877535398676,hhep,2250
GRNBOOST2,STRING12,0.7080711945995615,kim23-hm1,2500
GRNBOOST2,kim500Net,0.7712469970232593,kim23-hm1,2500
GRNBOOST2,Dataset-specific,0.5798174154793039,hhep,2500
GRNBOOST2,hhep500Net,0.6089341348416346,hhep,2500
GRNBOOST2,kim500Net,0.7721413162327142,kim23-hm1,2750
GRNBOOST2,Dataset-specific,0.5760975089271865,hhep,2750
GRNBOOST2,STRING12,0.6997068378219151,kim23-hm1,2750
GRNBOOST2,hhep500Net,0.6087781003549518,hhep,2750
GRNBOOST2,Dataset-specific,0.5724253677752331,hhep,3000
GRNBOOST2,hhep500Net,0.6064218285621681,hhep,3000
GRNBOOST2,kim500Net,0.7697668343968828,kim23-hm1,3000
GRNBOOST2,STRING12,0.688260528923062,kim23-hm1,3000
