method,metacells,n,auroc,k
PIDC,SEACells,15,0.5,500
GENIE3,SEACells,15,0.7217383705654006,500
PIDC,KMeans,15,0.5,500
GRNBOOST2,KMeans,15,0.6108533361655649,500
GENIE3,KMeans,15,0.7170797553525884,500
GRNBOOST2,SEACells,15,0.5745560892995905,500
GENIE3,SEACells,25,0.7508711641065141,300
GRNBOOST2,SEACells,25,0.7207353484078695,300
GENIE3,KMeans,25,0.7456787440250319,300
PIDC,KMeans,25,0.6356793768173479,300
PIDC,SEACells,25,0.6500200932934173,300
GRNBOOST2,KMeans,25,0.7289216747114702,300
GRNBOOST2,SEACells,38,0.7366910287295367,200
PIDC,SEACells,38,0.5015626263287745,200
GENIE3,KMeans,38,0.7598042214712366,200
GRNBOOST2,KMeans,38,0.7390536711020657,200
PIDC,KMeans,38,0.499722979500132,200
GENIE3,SEACells,38,0.7582327537233047,200
GENIE3,SEACells,51,0.7639598017245639,150
GRNBOOST2,SEACells,51,0.7372621468434446,150
PIDC,SEACells,51,0.5077289220312076,150
PIDC,KMeans,51,0.5093649131577723,150
GRNBOOST2,KMeans,51,0.7439321538109231,150
GENIE3,KMeans,51,0.7636314398230203,150
PIDC,SEACells,61,0.4994181283884185,125
PIDC,KMeans,61,0.4953655236320048,125
GRNBOOST2,KMeans,61,0.7313716075556042,125
GRNBOOST2,SEACells,61,0.7399121632521488,125
GENIE3,SEACells,61,0.7656737669743764,125
GENIE3,KMeans,61,0.7655351781677234,125
GENIE3,KMeans,76,0.7694810933293507,100
GRNBOOST2,KMeans,76,0.732674573223118,100
PIDC,KMeans,76,0.4949603177074252,100
GRNBOOST2,SEACells,76,0.7368037727743982,100
GENIE3,SEACells,76,0.7718527162900469,100
PIDC,SEACells,76,0.4999209232913305,100
GENIE3,SEACells,85,0.7726901408838911,90
PIDC,SEACells,85,0.5083652442157245,90
GRNBOOST2,KMeans,85,0.7366675071730499,90
GRNBOOST2,SEACells,85,0.7402550892503859,90
GENIE3,KMeans,85,0.7719810871405167,90
PIDC,KMeans,85,0.4963953998257224,90
PIDC,SEACells,95,0.5021945541222074,80
GRNBOOST2,SEACells,95,0.7447175678753022,80
GENIE3,KMeans,95,0.7703721243104746,80
GRNBOOST2,KMeans,95,0.7394094983466498,80
PIDC,KMeans,95,0.4991959667969189,80
GENIE3,SEACells,95,0.7715845400006922,80
GENIE3,KMeans,109,0.7686662045447377,70
GRNBOOST2,SEACells,109,0.7452803992522662,70
GENIE3,SEACells,109,0.7771058555313832,70
PIDC,SEACells,109,0.5079523293647893,70
GRNBOOST2,KMeans,109,0.7372455949028712,70
PIDC,KMeans,109,0.5103504402953368,70
PIDC,SEACells,127,0.4938065962480303,60
GRNBOOST2,KMeans,127,0.7374283792411249,60
PIDC,KMeans,127,0.5048042673451705,60
GENIE3,KMeans,127,0.7732181927688797,60
GRNBOOST2,SEACells,127,0.7407919035990481,60
GENIE3,SEACells,127,0.7752165540773162,60
GRNBOOST2,KMeans,153,0.7436614278177034,50
PIDC,KMeans,153,0.4942544668451024,50
PIDC,SEACells,153,0.5005025939253164,50
GRNBOOST2,SEACells,153,0.7460015997784729,50
GENIE3,KMeans,153,0.7783280162424095,50
GENIE3,SEACells,153,0.7763275929197903,50
PIDC,SEACells,191,0.5025754561132306,40
GRNBOOST2,SEACells,191,0.7466231863973157,40
GENIE3,SEACells,191,0.7795059168218936,40
GENIE3,KMeans,191,0.7789912247630837,40
GRNBOOST2,KMeans,191,0.7381882787211914,40
PIDC,KMeans,191,0.4974141137875683,40
PIDC,KMeans,255,0.5124592647124278,30
GENIE3,KMeans,255,0.7817794060911702,30
GENIE3,SEACells,255,0.7817531091297881,30
GRNBOOST2,SEACells,255,0.745037099124345,30
PIDC,SEACells,255,0.7583803159403536,30
GRNBOOST2,KMeans,255,0.7380672112529997,30
GENIE3,SEACells,382,0.7834267492617806,20
PIDC,SEACells,382,0.7695697116886426,20
GENIE3,KMeans,382,0.7811020984338753,20
GRNBOOST2,KMeans,382,0.7397922976618814,20
PIDC,KMeans,382,0.7683662482742722,20
GRNBOOST2,SEACells,382,0.7448340615081276,20
PIDC,KMeans,765,0.7802250493524412,10
GRNBOOST2,KMeans,765,0.743170070693327,10
GRNBOOST2,SEACells,765,0.745780747332702,10
GENIE3,SEACells,765,0.7831113859052612,10
PIDC,SEACells,765,0.7776343588184325,10
GENIE3,KMeans,765,0.7779883337992609,10
GENIE3,KMeans,1530,0.7699435124712787,5
GRNBOOST2,KMeans,1530,0.7392193001681936,5
PIDC,KMeans,1530,0.778369228612513,5
GENIE3,SEACells,1530,0.7803650868725976,5
GRNBOOST2,SEACells,1530,0.7515690767525653,5
PIDC,SEACells,1530,0.7794428254086314,5
GRNBOOST2,KMeans,2550,0.7431153836527044,3
GENIE3,KMeans,2550,0.7645831289529422,3
GENIE3,SEACells,2550,0.7748283798076905,3
GRNBOOST2,SEACells,2550,0.7464675962418542,3
PIDC,SEACells,2550,0.7805265763585217,3
PIDC,KMeans,2550,0.775227112977635,3
