method,metacells,n,auroc,k,dataset,user_time_seconds
PIDC,SEACells,15,0.5,500,kim23-hm1_STRING12_SEACells-n-15-1000TFs-_hvgs1000,630.88
GENIE3,SEACells,15,0.7217383705654006,500,kim23-hm1_STRING12_SEACells-n-15-1000TFs-_hvgs1000,3407.61
PIDC,KMeans,15,0.5,500,kim23-hm1_STRING12_K-500-MEANS1000TFs,619.86
GRNBOOST2,KMeans,15,0.6108533361655649,500,kim23-hm1_STRING12_K-500-MEANS1000TFs,832.21
GENIE3,KMeans,15,0.7170797553525884,500,kim23-hm1_STRING12_K-500-MEANS1000TFs,3354.62
GRNBOOST2,SEACells,15,0.5745560892995905,500,kim23-hm1_STRING12_SEACells-n-15-1000TFs-_hvgs1000,584.82
GENIE3,SEACells,25,0.7508711641065141,300,kim23-hm1_STRING12_SEACells-n-25-1000TFs-_hvgs1000,3652.93
GRNBOOST2,SEACells,25,0.7207353484078695,300,kim23-hm1_STRING12_SEACells-n-25-1000TFs-_hvgs1000,1015.71
GENIE3,KMeans,25,0.7456787440250319,300,kim23-hm1_STRING12_K-300-MEANS1000TFs,3610.56
PIDC,KMeans,25,0.6356793768173479,300,kim23-hm1_STRING12_K-300-MEANS1000TFs,610.52
PIDC,SEACells,25,0.6500200932934173,300,kim23-hm1_STRING12_SEACells-n-25-1000TFs-_hvgs1000,602.48
GRNBOOST2,KMeans,25,0.7289216747114702,300,kim23-hm1_STRING12_K-300-MEANS1000TFs,916.62
GRNBOOST2,SEACells,38,0.7366910287295367,200,kim23-hm1_STRING12_SEACells-n-38-1000TFs-_hvgs1000,1050.43
PIDC,SEACells,38,0.5015626263287745,200,kim23-hm1_STRING12_SEACells-n-38-1000TFs-_hvgs1000,845.23
GENIE3,KMeans,38,0.7598042214712366,200,kim23-hm1_STRING12_K-200-MEANS1000TFs,3881.82
GRNBOOST2,KMeans,38,0.7390536711020657,200,kim23-hm1_STRING12_K-200-MEANS1000TFs,918.04
PIDC,KMeans,38,0.499722979500132,200,kim23-hm1_STRING12_K-200-MEANS1000TFs,613.91
GENIE3,SEACells,38,0.7582327537233047,200,kim23-hm1_STRING12_SEACells-n-38-1000TFs-_hvgs1000,3832.42
GENIE3,SEACells,51,0.7639598017245639,150,kim23-hm1_STRING12_SEACells-n-51-1000TFs-_hvgs1000,4247.0
GRNBOOST2,SEACells,51,0.7372621468434446,150,kim23-hm1_STRING12_SEACells-n-51-1000TFs-_hvgs1000,981.62
PIDC,SEACells,51,0.5077289220312076,150,kim23-hm1_STRING12_SEACells-n-51-1000TFs-_hvgs1000,614.57
PIDC,KMeans,51,0.5093649131577723,150,kim23-hm1_STRING12_K-150-MEANS1000TFs,620.69
GRNBOOST2,KMeans,51,0.7439321538109231,150,kim23-hm1_STRING12_K-150-MEANS1000TFs,915.19
GENIE3,KMeans,51,0.7636314398230203,150,kim23-hm1_STRING12_K-150-MEANS1000TFs,4118.58
PIDC,SEACells,61,0.4994181283884185,125,kim23-hm1_STRING12_SEACells-n-61-1000TFs-_hvgs1000,592.51
